GQ id,fifth_col,number_room,rank,year
17926.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Indoor games Medical service Sunbathing business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa creditCards,662.0,5.0,1986.0
14554.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Salon Medical service business shopping urban family budget spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,388.0,4.0,1984.0
5385.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Air-conditioning in public areas Pool Laundry Bar Live entertainment Private event hosting Front desk services Onsite parking Internet (Public areas) Lift Accessible property Housekeeping Cash services Onsite car/limo rental Offsite parking business shopping urban budget gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress mastercard visa,235.0,3.0,1997.0
231238.0,Designated smoking area Guest item storage Dining Porter/Bellhop Air-conditioning in public areas Laundry Live entertainment Front desk services Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Cash services Check-in/out shopping urban budget green otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel mastercard visa carteBlanche,52.0,3.0,2011.0
66276.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Wake-up service Onsite car/limo rental Check-in/out Offsite parking Indoor games Golf business shopping urban family luxury romantic spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa creditCards,571.0,5.0,2006.0
60207.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Onsite car/limo rental Check-in/out Salon Medical service Sunbathing Golf business shopping urban family spaWellness green otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress dinersClub jcbInternational mastercard visa creditCards,295.0,4.0,2006.0
40968.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Cash services Wake-up service Onsite car/limo rental Leisure/Entertainment Check-in/out Salon Indoor games Fireplace Smoking rooms available business urban family luxury spaWellness gourmet design otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Apartment americanExpress dinersClub jcbInternational mastercard visa creditCards,512.0,5.0,2009.0
15473.0,Designated smoking area Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Connectivity/Devices On-site shopping Designated non-smoking area Front desk services Onsite parking Internet (Public areas) Transfers Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Social spaces Onsite car/limo rental Check-in/out Salon Fireplace Ground sports facilities Medical service business luxury spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel americanExpress jcbInternational mastercard visa,442.0,5.0,1998.0
252010.0,Designated smoking area Refreshments Guest item storage Dining Conference/Business Fitness centre/Gym Porter/Bellhop Air-conditioning in public areas Pool Laundry Bar Live entertainment On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Ticketing/Tours Cash services Check-in/out Offsite parking Medical service business luxury spaWellness otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Apartment Aparthotel Guesthouse americanExpress dinersClub jcbInternational mastercard visa,357.0,5.0,2012.0
251855.0,Designated smoking area Refreshments Landscape features Guest item storage Dining Conference/Business Fitness centre/Gym Newspapers in lobby Porter/Bellhop Pool Laundry Bar Live entertainment Connectivity/Devices On-site shopping Private event hosting Front desk services Onsite parking Internet (Public areas) Transfers Security Lift Accessible property Housekeeping Babysitting/Childcare/Young ones Wellness centre/club Spa/Sauna Cash services Wake-up service Leisure/Entertainment Check-in/out Indoor games Medical service business family luxury otherPolicy checkInOutPolicy petPolicy serviceAnimalPolicy Hotel Apartment Aparthotel americanExpress dinersClub jcbInternational mastercard visa creditCards unionPay,200.0,5.0,2012.0
